gene,Entrez Id,Dataset,correlation
OXSM,54995,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.5899096747843037
POLG,5428,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.458714089147265
MCAT,27349,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.421646705949163
MIPEP,4285,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.40456000849540813
TFB1M,51106,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3965446355587253
FDXR,2232,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.387604944238894
POLG2,11232,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3873963434847478
IBA57,200205,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3871653728997233
TRMT61A,115708,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.38696084782455153
MTG1,92170,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3864059395322716
DARS2,55157,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3837500222618157
SLC25A26,115286,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.37331727031080203
NSUN4,387338,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.37211204179246027
GATB,5188,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3715456455904963
FOXRED1,55572,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3702264254974764
EARS2,124454,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3662018677160879
HSD17B10,3028,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3642495951367141
CARS2,79587,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3633249910175813
TWNK,56652,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3621602977089997
RPUSD4,84881,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.36163186763726934
MTG2,26164,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3604377533206045
PPA2,27068,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3602396198799807
COQ3,51805,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3601513992031721
MARS2,92935,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.35953094276160985
MRPL20,55052,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.35705771885662985
AARS2,57505,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3496357927855623
GTPBP8,29083,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3496104605228609
TRUB2,26995,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.345403932900219
COA7,65260,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3429931680903569
DOHH,83475,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.34079465406677145
METTL1,4234,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.33868482753980067
MRPL47,57129,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3375569542516098
YBEY,54059,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3369443590660679
LARS2,23395,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.336474460354568
MRPL43,84545,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.33495852472731064
FARS2,10667,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.33431752407575255
MRPS6,64968,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3328103883137068
COQ7,10229,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3318063375694614
BCS1L,617,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.33068322972951775
MRPL28,10573,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32761045003373046
RNASEH2C,84153,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3262932426294978
MRPL23,6150,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32581986701730714
NGRN,51335,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32563244937830177
GLRX5,51218,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32551556245694835
DPH5,51611,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3253086258217802
MRPS12,6183,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32478055822558244
DCPS,28960,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32473250716529156
SCO2,9997,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3247301813325044
AIRIM,54955,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.324525047444138
NDUFAF6,137682,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3245086763927699
GATC,283459,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32224497511181177
GFM2,84340,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.32119592575915556
COA6,388753,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.3203233528876903
WARS2,10352,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.31937034605870396
