#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AARS2	WARS2	9606.ENSP00000244571	9606.ENSP00000235521	0.058	0	0	0	0.181	0.068	0	0.848	0.876
AARS2	MRPL39	9606.ENSP00000244571	9606.ENSP00000305682	0	0	0	0	0.317	0	0	0.190	0.423
AARS2	MRPS16	9606.ENSP00000244571	9606.ENSP00000362036	0.115	0	0	0	0.104	0.342	0	0.045	0.435
AARS2	MRPL55	9606.ENSP00000244571	9606.ENSP00000403614	0	0	0	0	0.062	0.164	0	0.347	0.443
AARS2	FOXRED1	9606.ENSP00000244571	9606.ENSP00000263578	0	0	0	0	0.250	0	0	0.287	0.443
AARS2	PTCD1	9606.ENSP00000244571	9606.ENSP00000292478	0	0	0	0	0.255	0.165	0	0.204	0.461
AARS2	BCS1L	9606.ENSP00000244571	9606.ENSP00000413908	0.070	0	0	0	0.217	0	0	0.321	0.462
AARS2	POLG	9606.ENSP00000244571	9606.ENSP00000399851	0	0	0	0	0.204	0.162	0	0.321	0.508
AARS2	POLG2	9606.ENSP00000244571	9606.ENSP00000442563	0.056	0	0	0	0.347	0.059	0	0.287	0.531
AARS2	PPA2	9606.ENSP00000244571	9606.ENSP00000343885	0	0	0	0	0.069	0.140	0	0.462	0.532
AARS2	GATB	9606.ENSP00000244571	9606.ENSP00000263985	0.115	0	0	0	0.271	0.143	0	0.380	0.612
AARS2	MTO1	9606.ENSP00000244571	9606.ENSP00000402038	0	0	0	0	0.087	0.160	0	0.557	0.630
AARS2	GFM1	9606.ENSP00000244571	9606.ENSP00000264263	0.057	0	0	0	0.152	0.163	0	0.515	0.632
AARS2	SARS2	9606.ENSP00000244571	9606.ENSP00000472847	0	0	0	0	0.265	0.064	0	0.723	0.793
AARS2	CARS2	9606.ENSP00000244571	9606.ENSP00000257347	0.055	0	0	0	0.257	0.163	0	0.736	0.824
AARS2	FARS2	9606.ENSP00000244571	9606.ENSP00000316335	0.055	0	0	0	0.162	0	0	0.806	0.833
AARS2	NARS2	9606.ENSP00000244571	9606.ENSP00000281038	0.079	0	0	0	0.246	0.061	0	0.791	0.845
AARS2	MARS2	9606.ENSP00000244571	9606.ENSP00000282276	0.075	0	0	0	0.340	0	0	0.778	0.853
AARS2	HARS2	9606.ENSP00000244571	9606.ENSP00000494965	0.079	0	0	0	0.360	0.165	0	0.769	0.871
AARS2	LARS2	9606.ENSP00000244571	9606.ENSP00000498867	0.102	0	0	0	0.575	0.162	0	0.792	0.924
AARS2	EARS2	9606.ENSP00000244571	9606.ENSP00000456218	0.069	0	0	0	0.587	0.128	0	0.809	0.927
AARS2	DARS2	9606.ENSP00000244571	9606.ENSP00000497569	0.115	0.132	0	0	0.571	0.125	0	0.869	0.955
AASDHPPT	OXSM	9606.ENSP00000278618	9606.ENSP00000280701	0.231	0	0	0	0.543	0	0	0.374	0.761
AASDHPPT	MCAT	9606.ENSP00000278618	9606.ENSP00000290429	0.231	0	0	0	0.595	0	0	0.647	0.880
ADAT2	METTL1	9606.ENSP00000237283	9606.ENSP00000314441	0.046	0	0	0	0.120	0	0	0.592	0.628
ADAT2	TRMT61A	9606.ENSP00000237283	9606.ENSP00000374399	0	0	0	0	0.140	0	0	0.614	0.654
BCS1L	MRM2	9606.ENSP00000413908	9606.ENSP00000242257	0.079	0	0	0	0.433	0	0	0.173	0.530
BCS1L	AARS2	9606.ENSP00000413908	9606.ENSP00000244571	0.070	0	0	0	0.217	0	0	0.321	0.462
BCS1L	ERAL1	9606.ENSP00000413908	9606.ENSP00000254928	0	0	0	0	0.343	0	0	0.198	0.451
BCS1L	TIMM10	9606.ENSP00000413908	9606.ENSP00000257245	0	0	0	0	0.313	0.071	0.500	0.210	0.714
BCS1L	FOXRED1	9606.ENSP00000413908	9606.ENSP00000263578	0	0	0	0	0.122	0	0	0.662	0.690
BCS1L	GATB	9606.ENSP00000413908	9606.ENSP00000263985	0	0	0	0	0.252	0	0	0.301	0.455
BCS1L	GFM1	9606.ENSP00000413908	9606.ENSP00000264263	0.052	0	0	0	0.163	0.088	0	0.430	0.533
BCS1L	TOMM70	9606.ENSP00000413908	9606.ENSP00000284320	0	0	0	0	0.114	0	0.400	0.272	0.579
BCS1L	MRPL17	9606.ENSP00000413908	9606.ENSP00000288937	0	0	0	0	0.209	0.519	0	0.299	0.710
BCS1L	MRPL13	9606.ENSP00000413908	9606.ENSP00000306548	0.055	0	0	0	0.153	0.401	0	0.166	0.546
BCS1L	TWNK	9606.ENSP00000413908	9606.ENSP00000309595	0	0	0	0	0.097	0	0	0.421	0.455
BCS1L	MRPL46	9606.ENSP00000413908	9606.ENSP00000312311	0	0	0	0	0.320	0.252	0	0	0.470
BCS1L	FARS2	9606.ENSP00000413908	9606.ENSP00000316335	0	0	0	0	0.253	0	0	0.234	0.404
BCS1L	MRPS11	9606.ENSP00000413908	9606.ENSP00000317376	0	0	0	0	0.343	0.401	0	0.194	0.655
BCS1L	MTG1	9606.ENSP00000413908	9606.ENSP00000323047	0	0	0	0	0.656	0.095	0	0.124	0.704
BCS1L	YBEY	9606.ENSP00000413908	9606.ENSP00000329614	0.054	0	0	0	0.356	0	0	0.136	0.428
BCS1L	UQCR10	9606.ENSP00000413908	9606.ENSP00000332887	0	0	0	0	0.207	0	0.540	0.613	0.846
BCS1L	COQ6	9606.ENSP00000413908	9606.ENSP00000333946	0	0	0	0	0.204	0	0	0.305	0.423
BCS1L	MRPL43	9606.ENSP00000413908	9606.ENSP00000339844	0	0	0	0	0.252	0.252	0	0	0.417
BCS1L	MRPL20	9606.ENSP00000413908	9606.ENSP00000341082	0.047	0	0	0	0.214	0.319	0	0.249	0.566
BCS1L	COA6	9606.ENSP00000413908	9606.ENSP00000355574	0	0	0	0	0.109	0	0.500	0.280	0.651
BCS1L	PDSS2	9606.ENSP00000413908	9606.ENSP00000358033	0.045	0	0	0	0.135	0	0	0.489	0.541
BCS1L	MRPS2	9606.ENSP00000413908	9606.ENSP00000360850	0	0	0	0	0.204	0.309	0	0.069	0.444
BCS1L	MRPS16	9606.ENSP00000413908	9606.ENSP00000362036	0.059	0	0	0	0.318	0.519	0	0.280	0.748
BCS1L	NDUFAF6	9606.ENSP00000413908	9606.ENSP00000379430	0	0	0	0	0.093	0	0	0.701	0.717
BCS1L	MRPS12	9606.ENSP00000413908	9606.ENSP00000384952	0	0	0	0	0.176	0.460	0	0.190	0.608
BCS1L	POLG	9606.ENSP00000413908	9606.ENSP00000399851	0.069	0	0	0	0.080	0.066	0	0.467	0.517
