#node	identifier	node_degree
ACOT1	9606.ENSP00000311224	0
AK1	9606.ENSP00000223836	9
ALDH18A1	9606.ENSP00000360268	17
BCS1L	9606.ENSP00000413908	13
BEX3	9606.ENSP00000361728	0
CALM1	9606.ENSP00000499717	1
CCDC47	9606.ENSP00000225726	0
CEP131	9606.ENSP00000269392	0
CFC1B	9606.ENSP00000281882	0
COQ3	9606.ENSP00000254759	5
COX16	9606.ENSP00000374562	2
CPAMD8	9606.ENSP00000498697	0
CRHBP	9606.ENSP00000274368	0
DARS2	9606.ENSP00000497569	14
DBNDD2	9606.ENSP00000361795	0
DDX28	9606.ENSP00000332340	13
DLST	9606.ENSP00000335304	11
EEF1B2	9606.ENSP00000376055	5
EXOC6	9606.ENSP00000260762	2
FARS2	9606.ENSP00000316335	7
FDXR	9606.ENSP00000416515	10
FH	9606.ENSP00000355518	16
G6PD	9606.ENSP00000377192	10
GADD45GIP1	9606.ENSP00000323065	14
GATC	9606.ENSP00000446872	2
GCLC	9606.ENSP00000497574	4
GLRX5	9606.ENSP00000328570	6
GLS	9606.ENSP00000317379	4
GSS	9606.ENSP00000495750	1
GTPBP8	9606.ENSP00000373176	7
HSD17B10	9606.ENSP00000168216	5
IBA57	9606.ENSP00000355672	11
IREB2	9606.ENSP00000258886	14
ISCA1	9606.ENSP00000365159	6
ISCA2	9606.ENSP00000452007	8
KIAA1143	9606.ENSP00000296121	0
KRT16	9606.ENSP00000301653	0
LIPT1	9606.ENSP00000377115	8
LIPT2	9606.ENSP00000309463	9
MAPK9	9606.ENSP00000394560	7
MARS2	9606.ENSP00000282276	7
MCAT	9606.ENSP00000290429	10
MDH2	9606.ENSP00000327070	15
MECR	9606.ENSP00000263702	7
MIPEP	9606.ENSP00000371607	2
MRPL13	9606.ENSP00000306548	23
MRPL16	9606.ENSP00000300151	20
MRPL17	9606.ENSP00000288937	23
MRPL40	9606.ENSP00000333401	18
MRPL47	9606.ENSP00000417602	18
MRPL52	9606.ENSP00000347277	15
MRPS18B	9606.ENSP00000259873	18
MRPS24	9606.ENSP00000318158	16
MRPS26	9606.ENSP00000369682	16
MRPS27	9606.ENSP00000426941	16
MRPS30	9606.ENSP00000424328	14
MRPS34	9606.ENSP00000177742	18
NADK2	9606.ENSP00000371362	0
NDRG3	9606.ENSP00000345292	0
NME2	9606.ENSP00000376886	9
OR1E2	9606.ENSP00000248384	0
OTULINL	9606.ENSP00000274217	0
OXSM	9606.ENSP00000280701	13
PDSS2	9606.ENSP00000358033	3
PKD1	9606.ENSP00000262304	1
PMVK	9606.ENSP00000357452	0
PPA2	9606.ENSP00000343885	12
PPCDC	9606.ENSP00000343190	1
PRR30	9606.ENSP00000335017	0
PRSS50	9606.ENSP00000326598	0
PRXL2B	9606.ENSP00000413218	0
PSG6	9606.ENSP00000292125	0
PTPMT1	9606.ENSP00000325958	0
PTPN12	9606.ENSP00000248594	0
RAB36	9606.ENSP00000263116	0
RAD50	9606.ENSP00000368100	0
RBFA	9606.ENSP00000305696	9
RHPN1	9606.ENSP00000289013	0
RPUSD4	9606.ENSP00000298317	9
SCO1	9606.ENSP00000255390	8
SDHA	9606.ENSP00000264932	18
SDHB	9606.ENSP00000364649	19
SIGLEC12	9606.ENSP00000291707	0
SLC25A1	9606.ENSP00000215882	5
SLC25A19	9606.ENSP00000385312	2
SLC25A26	9606.ENSP00000346955	0
SLC35A4	9606.ENSP00000424566	0
SMOC2	9606.ENSP00000346537	0
SPACA7	9606.ENSP00000283550	0
SSR4	9606.ENSP00000317331	0
STX17	9606.ENSP00000259400	0
TAS2R31	9606.ENSP00000375093	0
TIGD1	9606.ENSP00000386186	0
TKT	9606.ENSP00000391481	11
TUFM	9606.ENSP00000322439	32
UBE2W	9606.ENSP00000498255	0
UQCRC1	9606.ENSP00000203407	14
VARS2	9606.ENSP00000441000	9
WBP1	9606.ENSP00000233615	0
ZNF254	9606.ENSP00000349494	0
ZNF322	9606.ENSP00000482607	0
