#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ak1	Mdh2	10090.ENSMUSP00000068479	10090.ENSMUSP00000019323	0	0	0	0	0.127	0	0	0.453	0.502
Ak1	Nme2	10090.ENSMUSP00000068479	10090.ENSMUSP00000021217	0.055	0	0	0	0.088	0	0.650	0.272	0.751
Ak1	Ppa2	10090.ENSMUSP00000068479	10090.ENSMUSP00000029644	0.068	0	0	0	0.284	0	0	0.297	0.490
Ak1	Mrpl16	10090.ENSMUSP00000068479	10090.ENSMUSP00000128915	0.061	0	0	0	0.382	0	0	0.119	0.444
Ak1	Tufm	10090.ENSMUSP00000068479	10090.ENSMUSP00000095656	0.091	0	0	0	0.389	0.051	0	0.255	0.555
Ak1	Mrpl17	10090.ENSMUSP00000068479	10090.ENSMUSP00000117971	0.091	0	0	0	0.445	0	0	0.193	0.557
Aldh18a1	G6pdx	10090.ENSMUSP00000025979	10090.ENSMUSP00000004327	0	0	0	0	0.070	0	0	0.512	0.526
Aldh18a1	Mdh2	10090.ENSMUSP00000025979	10090.ENSMUSP00000019323	0.093	0	0	0	0	0	0	0.579	0.602
Aldh18a1	Fdxr	10090.ENSMUSP00000025979	10090.ENSMUSP00000021078	0.208	0	0	0	0.068	0	0	0.538	0.629
Aldh18a1	Fars2	10090.ENSMUSP00000025979	10090.ENSMUSP00000021857	0.048	0	0	0	0.083	0	0	0.498	0.523
Aldh18a1	Sdha	10090.ENSMUSP00000025979	10090.ENSMUSP00000022062	0.119	0	0	0	0	0	0	0.560	0.595
Aldh18a1	Tkt	10090.ENSMUSP00000025979	10090.ENSMUSP00000022529	0.330	0	0	0	0.066	0	0	0.455	0.629
Aldh18a1	Mrpl13	10090.ENSMUSP00000025979	10090.ENSMUSP00000130722	0.091	0	0	0	0.084	0	0	0.376	0.435
Aldh18a1	Vars2	10090.ENSMUSP00000025979	10090.ENSMUSP00000047917	0.119	0	0	0	0	0	0	0.451	0.495
Aldh18a1	Gss	10090.ENSMUSP00000025979	10090.ENSMUSP00000078630	0	0	0	0	0	0	0	0.532	0.532
Aldh18a1	Hsd17b10	10090.ENSMUSP00000025979	10090.ENSMUSP00000026289	0	0	0	0	0	0	0	0.537	0.537
Aldh18a1	Fh1	10090.ENSMUSP00000025979	10090.ENSMUSP00000027810	0	0	0	0	0	0	0	0.538	0.538
Aldh18a1	Ppa2	10090.ENSMUSP00000025979	10090.ENSMUSP00000029644	0.063	0	0	0	0	0	0	0.538	0.548
Aldh18a1	Iba57	10090.ENSMUSP00000025979	10090.ENSMUSP00000049823	0	0	0	0	0	0	0	0.549	0.549
Aldh18a1	Dlst	10090.ENSMUSP00000025979	10090.ENSMUSP00000060346	0.047	0	0	0	0.064	0	0	0.538	0.551
Aldh18a1	Mars2	10090.ENSMUSP00000025979	10090.ENSMUSP00000049770	0.061	0	0	0	0.050	0	0	0.538	0.551
Aldh18a1	Uqcrc1	10090.ENSMUSP00000025979	10090.ENSMUSP00000026743	0.080	0	0	0	0	0	0	0.538	0.556
Aldh18a1	Lipt2	10090.ENSMUSP00000025979	10090.ENSMUSP00000032967	0.120	0	0	0	0	0	0	0.538	0.576
Aldh18a1	Bcs1l	10090.ENSMUSP00000025979	10090.ENSMUSP00000027358	0.117	0	0	0	0.066	0	0	0.538	0.585
Aldh18a1	Gclc	10090.ENSMUSP00000025979	10090.ENSMUSP00000034905	0	0	0	0	0	0.124	0	0.547	0.586
Aldh18a1	Dars2	10090.ENSMUSP00000025979	10090.ENSMUSP00000041851	0.075	0	0	0	0.101	0.115	0	0.538	0.614
Aldh18a1	Ireb2	10090.ENSMUSP00000025979	10090.ENSMUSP00000034843	0.219	0	0	0	0	0	0	0.533	0.619
Aldh18a1	Gls	10090.ENSMUSP00000025979	10090.ENSMUSP00000110158	0.078	0	0	0	0	0	0.800	0.247	0.849
Bcs1l	Sdhb	10090.ENSMUSP00000027358	10090.ENSMUSP00000010007	0.081	0	0	0	0.085	0	0	0.377	0.430
Bcs1l	Sdha	10090.ENSMUSP00000027358	10090.ENSMUSP00000022062	0	0	0	0	0.108	0.082	0	0.681	0.716
Bcs1l	Mrpl40	10090.ENSMUSP00000027358	10090.ENSMUSP00000023391	0	0	0	0	0.331	0.238	0	0.093	0.498
Bcs1l	Aldh18a1	10090.ENSMUSP00000027358	10090.ENSMUSP00000025979	0.117	0	0	0	0.066	0	0	0.538	0.585
Bcs1l	Uqcrc1	10090.ENSMUSP00000027358	10090.ENSMUSP00000026743	0.042	0	0	0	0.157	0.104	0	0.569	0.647
Bcs1l	Slc25a19	10090.ENSMUSP00000027358	10090.ENSMUSP00000137534	0	0	0	0	0.104	0	0	0.358	0.400
Bcs1l	Mipep	10090.ENSMUSP00000027358	10090.ENSMUSP00000069840	0	0	0	0	0.229	0	0	0.262	0.407
Bcs1l	Lipt1	10090.ENSMUSP00000027358	10090.ENSMUSP00000038739	0.048	0	0	0	0.165	0	0	0.358	0.445
Bcs1l	Mrpl13	10090.ENSMUSP00000027358	10090.ENSMUSP00000130722	0.055	0	0	0	0.180	0.301	0	0.152	0.479
Bcs1l	Dars2	10090.ENSMUSP00000027358	10090.ENSMUSP00000041851	0	0	0	0	0.308	0	0	0.335	0.521
Bcs1l	Pdss2	10090.ENSMUSP00000027358	10090.ENSMUSP00000093393	0.043	0	0	0	0.160	0	0	0.497	0.560
Bcs1l	Tufm	10090.ENSMUSP00000027358	10090.ENSMUSP00000095656	0	0	0	0	0.517	0	0	0.333	0.664
Bcs1l	Mrpl17	10090.ENSMUSP00000027358	10090.ENSMUSP00000117971	0	0	0	0	0.219	0.519	0	0.207	0.676
Bcs1l	Mrpl16	10090.ENSMUSP00000027358	10090.ENSMUSP00000128915	0	0	0	0	0.599	0.274	0	0.247	0.762
Calm1	Mapk9	10090.ENSMUSP00000158788	10090.ENSMUSP00000136977	0	0	0	0	0.056	0	0	0.454	0.462
Ccdc47	Mrpl16	10090.ENSMUSP00000002043	10090.ENSMUSP00000128915	0	0	0	0	0.097	0.382	0	0	0.418
Ccdc47	Mrpl13	10090.ENSMUSP00000002043	10090.ENSMUSP00000130722	0	0	0	0	0.087	0.424	0	0	0.451
Coq3	Fdxr	10090.ENSMUSP00000029909	10090.ENSMUSP00000021078	0	0	0	0	0.052	0.059	0	0.621	0.632
Coq3	Sdha	10090.ENSMUSP00000029909	10090.ENSMUSP00000022062	0.043	0	0	0	0.065	0	0	0.443	0.458
Coq3	Mipep	10090.ENSMUSP00000029909	10090.ENSMUSP00000069840	0	0	0	0	0.118	0	0	0.519	0.557
Coq3	Pdss2	10090.ENSMUSP00000029909	10090.ENSMUSP00000093393	0.047	0	0	0	0.224	0.069	0	0.850	0.883
Cox16	Mrpl52	10090.ENSMUSP00000002757	10090.ENSMUSP00000010550	0	0	0	0	0.222	0	0	0.335	0.461
