#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	40	DPH5	9606.ENSP00000359127	Diphthine methyl ester synthase; S-adenosyl-L-methionine-dependent methyltransferase that catalyzes four methylations of the modified target histidine residue in translation elongation factor 2 (EF-2), to form an intermediate called diphthine methyl ester. The four successive methylation reactions represent the second step of diphthamide biosynthesis.
MCL	1	Red	40	ERAL1	9606.ENSP00000254928	GTPase Era, mitochondrial; Probable GTPase that plays a role in the mitochondrial ribosomal small subunit assembly. Specifically binds the 12S mitochondrial rRNA (12S mt-rRNA) to a 33 nucleotide section delineating the 3' terminal stem-loop region. May act as a chaperone that protects the 12S mt-rRNA on the 28S mitoribosomal subunit during ribosomal small subunit assembly; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Era GTPase family.
MCL	1	Red	40	GFM1	9606.ENSP00000264263	Elongation factor G, mitochondrial; Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. Does not mediate the disassembly of ribosomes from messenger RNA at the termination of mito [...] 
MCL	1	Red	40	GFM2	9606.ENSP00000427004	Ribosome-releasing factor 2, mitochondrial; Mitochondrial GTPase that mediates the disassembly of ribosomes from messenger RNA at the termination of mitochondrial protein biosynthesis. Acts in collaboration with MRRF. GTP hydrolysis follows the ribosome disassembly and probably occurs on the ribosome large subunit. Not involved in the GTP-dependent ribosomal translocation step during translation elongation.
MCL	1	Red	40	GTPBP10	9606.ENSP00000222511	GTP-binding protein 10; May be involved in the ribosome maturation process. Complements an ObgE(CgtA) function in E.coli ribosome maturation. Plays a role of GTPase in vitro. When missing, disorganization of the nucleolar architecture is observed; Belongs to the TRAFAC class OBG-HflX-like GTPase superfamily. OBG GTPase family.
MCL	1	Red	40	GTPBP8	9606.ENSP00000373176	GTP binding protein 8.
MCL	1	Red	40	MRM2	9606.ENSP00000242257	rRNA methyltransferase 2, mitochondrial; S-adenosyl-L-methionine-dependent 2'-O-ribose methyltransferase that catalyzes the formation of 2'-O-methyluridine at position 1369 (Um1369) in the 16S mitochondrial large subunit ribosomal RNA (mtLSU rRNA), a universally conserved modification in the peptidyl transferase domain of the mtLSU rRNA; Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family.
MCL	1	Red	40	MRM3	9606.ENSP00000306080	rRNA methyltransferase 3, mitochondrial; S-adenosyl-L-methionine-dependent 2'-O-ribose methyltransferase that catalyzes the formation of 2'-O-methylguanosine at position 1370 (Gm1370) in the 16S mitochondrial large subunit ribosomal RNA (mtLSU rRNA), a conserved modification in the peptidyl transferase domain of the mtLSU rRNA.
MCL	1	Red	40	MRPL10	9606.ENSP00000290208	Mitochondrial ribosomal protein L10; Belongs to the universal ribosomal protein uL10 family.
MCL	1	Red	40	MRPL13	9606.ENSP00000306548	Mitochondrial ribosomal protein L13; Belongs to the universal ribosomal protein uL13 family.
MCL	1	Red	40	MRPL15	9606.ENSP00000260102	Mitochondrial ribosomal protein L15.
MCL	1	Red	40	MRPL17	9606.ENSP00000288937	Mitochondrial ribosomal protein L17.
MCL	1	Red	40	MRPL20	9606.ENSP00000341082	Mitochondrial ribosomal protein L20.
MCL	1	Red	40	MRPL23	9606.ENSP00000380466	Mitochondrial ribosomal protein L23.
MCL	1	Red	40	MRPL28	9606.ENSP00000497004	Mitochondrial ribosomal protein L28.
MCL	1	Red	40	MRPL39	9606.ENSP00000305682	Mitochondrial ribosomal protein L39; Belongs to the mitochondrion-specific ribosomal protein mL39 family.
MCL	1	Red	40	MRPL43	9606.ENSP00000339844	Mitochondrial ribosomal protein L43.
MCL	1	Red	40	MRPL46	9606.ENSP00000312311	Mitochondrial ribosomal protein L46; Belongs to the mitochondrion-specific ribosomal protein mL46 family.
MCL	1	Red	40	MRPL47	9606.ENSP00000417602	Mitochondrial ribosomal protein L47; Belongs to the universal ribosomal protein uL29 family.
MCL	1	Red	40	MRPL55	9606.ENSP00000403614	Mitochondrial ribosomal protein L55.
MCL	1	Red	40	MRPL57	9606.ENSP00000310726	Mitochondrial ribosomal protein L57; Belongs to the mitochondrion-specific ribosomal protein mL63 family.
MCL	1	Red	40	MRPS11	9606.ENSP00000317376	Mitochondrial ribosomal protein S11.
MCL	1	Red	40	MRPS12	9606.ENSP00000384952	Mitochondrial ribosomal protein S12.
MCL	1	Red	40	MRPS16	9606.ENSP00000362036	Mitochondrial ribosomal protein S16; Belongs to the bacterial ribosomal protein bS16 family.
MCL	1	Red	40	MRPS18B	9606.ENSP00000259873	Mitochondrial ribosomal protein S18B; Belongs to the bacterial ribosomal protein bS18 family. Mitochondrion-specific ribosomal protein mS40 subfamily.
MCL	1	Red	40	MRPS2	9606.ENSP00000360850	28S ribosomal protein S2, mitochondrial; Required for mitoribosome formation and stability, and mitochondrial translation; Belongs to the universal ribosomal protein uS2 family.
MCL	1	Red	40	MRPS23	9606.ENSP00000320184	Mitochondrial ribosomal protein S23; Belongs to the mitochondrion-specific ribosomal protein mS23 family.
MCL	1	Red	40	MRPS24	9606.ENSP00000318158	Mitochondrial ribosomal protein S24; Belongs to the universal ribosomal protein uS3 family.
MCL	1	Red	40	MRPS26	9606.ENSP00000369682	Mitochondrial ribosomal protein S26; Belongs to the mitochondrion-specific ribosomal protein mS26 family.
MCL	1	Red	40	MRPS6	9606.ENSP00000382250	Mitochondrial ribosomal protein S6.
MCL	1	Red	40	MTERF4	9606.ENSP00000480378	Transcription termination factor 4, mitochondrial; Regulator of mitochondrial ribosome biogenesis and translation. Binds to mitochondrial ribosomal RNAs 16S, 12S and 7S and targets NSUN4 RNA methyltransferase to the mitochondrial large ribosomal subunit (39S); Belongs to the mTERF family.
MCL	1	Red	40	MTG1	9606.ENSP00000323047	Mitochondrial ribosome-associated GTPase 1; Plays a role in the regulation of the mitochondrial ribosome assembly and of translational activity. Displays mitochondrial GTPase activity; Belongs to the TRAFAC class YlqF/YawG GTPase family. MTG1 subfamily.
MCL	1	Red	40	MTG2	9606.ENSP00000359859	Mitochondrial ribosome-associated GTPase 2; Plays a role in the regulation of the mitochondrial ribosome assembly and of translational activity. Displays GTPase activity. Involved in the ribosome maturation process.
MCL	1	Red	40	NGRN	9606.ENSP00000368389	Neugrin; Plays an essential role in mitochondrial ribosome biogenesis. As a component of a functional protein-RNA module, consisting of RCC1L, NGRN, RPUSD3, RPUSD4, TRUB2, FASTKD2 and 16S mitochondrial ribosomal RNA (16S mt-rRNA), controls 16S mt-rRNA abundance and is required for intra-mitochondrial translation of core subunits of the oxidative phosphorylation system.
MCL	1	Red	40	NSUN4	9606.ENSP00000419740	5-methylcytosine rRNA methyltransferase NSUN4; Involved in mitochondrial ribosome assembly. 5-methylcytosine rRNA methyltransferase that probably is involved in mitochondrial ribosome small subunit (SSU) maturation by methylation of mitochondrial 12S rRNA; the function is independent of MTERFD2/MTERF4 and assembled mitochondrial ribosome large subunit (LSU). Targeted to LSU by MTERFD2/MTERF4 and probably is involved in a final step in ribosome biogenesis to ensure that SSU and LSU are assembled. In vitro can methylate 16S rRNA of the LSU; the methylation is enhanced by MTERFD/MTERF4; B [...] 
MCL	1	Red	40	PTCD1	9606.ENSP00000292478	Pentatricopeptide repeat-containing protein 1, mitochondrial; Mitochondrial protein implicated in negative regulation of leucine tRNA levels, as well as negative regulation of mitochondria- encoded proteins and COX activity. Affects also the 3'-processing of mitochondrial tRNAs; Belongs to the PTCD1 family.
MCL	1	Red	40	RPUSD4	9606.ENSP00000298317	Mitochondrial RNA pseudouridine synthase RPUSD4; Catalyzes uridine to pseudouridine isomerization (pseudouridylation) of different mitochondrial RNA substrates. Acts on position 1397 in 16S mitochondrial ribosomal RNA (16S mt-rRNA). This modification is required for the assembly of 16S mt-rRNA into a functional mitochondrial ribosome. Acts on position 39 in mitochondrial tRNA(Phe). As a component of a functional protein-RNA module, consisting of RCC1L, NGRN, RPUSD3, RPUSD4, TRUB2, FASTKD2 and 16S mt-rRNA, controls 16S mt-rRNA abundance and is required for intra-mitochondrial translatio [...] 
MCL	1	Red	40	TFB1M	9606.ENSP00000356134	Dimethyladenosine transferase 1, mitochondrial; S-adenosyl-L-methionine-dependent methyltransferase which specifically dimethylates mitochondrial 12S rRNA at the conserved stem loop. Also required for basal transcription of mitochondrial DNA, probably via its interaction with POLRMT and TFAM. Stimulates transcription independently of the methyltransferase activity.
MCL	1	Red	40	TRUB2	9606.ENSP00000361982	Mitochondrial mRNA pseudouridine synthase TRUB2; Minor enzyme contributing to the isomerization of uridine to pseudouridine (pseudouridylation) of specific mitochondrial mRNAs (mt- mRNAs) such as COXI and COXIII mt-mRNAs. As a component of a functional protein-RNA module, consisting of RCC1L, NGRN, RPUSD3, RPUSD4, TRUB2, FASTKD2 and 16S mitochondrial ribosomal RNA (16S mt-rRNA), controls 16S mt-rRNA abundance and is required for intra-mitochondrial translation.
MCL	1	Red	40	YBEY	9606.ENSP00000329614	Endoribonuclease YbeY; Single strand-specific metallo-endoribonuclease involved in rRNA maturation.
MCL	2	Brown	14	AARS2	9606.ENSP00000244571	Alanine--tRNA ligase, mitochondrial; Catalyzes the attachment of alanine to tRNA(Ala) in a two- step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. Belongs to the class-II aminoacyl-tRNA synthetase family.
MCL	2	Brown	14	CARS2	9606.ENSP00000257347	Probable cysteine--tRNA ligase, mitochondrial; cysteinyl-tRNA synthetase 2, mitochondrial; Belongs to the class-I aminoacyl-tRNA synthetase family.
MCL	2	Brown	14	DARS2	9606.ENSP00000497569	Aspartate--tRNA ligase, mitochondrial; aspartyl-tRNA synthetase 2, mitochondrial.
MCL	2	Brown	14	EARS2	9606.ENSP00000456218	Probable glutamate--tRNA ligase, mitochondrial; Catalyzes the attachment of glutamate to tRNA(Glu) in a two- step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu).
MCL	2	Brown	14	FARS2	9606.ENSP00000316335	Phenylalanine--tRNA ligase, mitochondrial; Is responsible for the charging of tRNA(Phe) with phenylalanine in mitochondrial translation. To a lesser extent, also catalyzes direct attachment of m-Tyr (an oxidized version of Phe) to tRNA(Phe), thereby opening the way for delivery of the misacylated tRNA to the ribosome and incorporation of ROS-damaged amino acid into proteins; Belongs to the class-II aminoacyl-tRNA synthetase family.
