#node	identifier	x_position	y_position	color	annotation
ACOT1	9606.ENSP00000311224	0.5599452554744526	0.13681948424068768	rgb(239,140,117)	Acyl-coenzyme A thioesterase 1; Acyl-CoA thioesterases are a group of enzymes that catalyze the hydrolysis of acyl-CoAs into free fatty acids and coenzyme A (CoASH), regulating intracellular levels of acyl-CoAs, free fatty acids and CoASH. More active towards saturated and unsaturated long chain fatty acyl-CoAs (C12-C20); Belongs to the C/M/P thioester hydrolase family.
AK1	9606.ENSP00000223836	0.36286496350364966	0.6319484240687679	rgb(117,117,239)	Adenylate kinase isoenzyme 1; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Also displays broad nucleoside diphosphate kinase activity. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism.
ALDH18A1	9606.ENSP00000360268	0.6847627737226278	0.4007163323782235	rgb(117,147,239)	Delta-1-pyrroline-5-carboxylate synthase; Bifunctional enzyme that converts glutamate to glutamate 5- semialdehyde, an intermediate in the biosynthesis of proline, ornithine and arginine.
BCS1L	9606.ENSP00000413908	0.3521897810218978	0.4969914040114613	rgb(199,239,117)	Mitochondrial chaperone BCS1; Chaperone necessary for the assembly of mitochondrial respiratory chain complex III. Plays an important role in the maintenance of mitochondrial tubular networks, respiratory chain assembly and formation of the LETM1 complex.
BEX3	9606.ENSP00000361728	0.23886861313868613	0.8820916905444127	rgb(101,255,163)	Protein BEX3; May be a signaling adapter molecule involved in p75NTR- mediated apoptosis induced by NGF. Plays a role in zinc-triggered neuronal death (By similarity). May play an important role in the pathogenesis of neurogenetic diseases.
CALM1	9606.ENSP00000499717	0.5509124087591241	0.8055873925501433	rgb(117,117,239)	Calmodulin-1; Calmodulin 1; Belongs to the calmodulin family.
CCDC47	9606.ENSP00000225726	0.36450729927007297	0.7359598853868196	rgb(239,146,117)	Coiled-coil domain-containing protein 47; Involved in the regulation of calcium ion homeostasis in the endoplasmic reticulum. Required for proper protein degradation via the ERAD pathway. Has an essential role in the maintenance of endoplasmic reticulum organization during embryogenesis (By similarity).
CEP131	9606.ENSP00000269392	0.8251824817518248	0.34140401146131805	rgb(187,239,117)	Centrosomal protein of 131 kDa; Component of centriolar satellites contributing to the building of a complex and dynamic network required to regulate cilia/flagellum formation. In proliferating cells, MIB1-mediated ubiquitination induces its sequestration within centriolar satellites, precluding untimely cilia formation initiation. In contrast, during normal and ultraviolet or heat shock cellular stress-induced ciliogenesis, its non-ubiquitinated form is rapidly displaced from centriolar satellites and recruited to centrosome/basal bodies in a microtubule- and p38 MAPK-dependent manner [...] 
CFC1B	9606.ENSP00000281882	0.23886861313868613	0.1806590257879656	rgb(239,152,117)	Cripto, FRL-1, cryptic family 1B.
COQ3	9606.ENSP00000254759	0.4203467153284672	0.42048710601719197	rgb(117,239,221)	Ubiquinone biosynthesis O-methyltransferase, mitochondrial; O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway.
