#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AARS2	9606.ENSP00000244571	Alanine--tRNA ligase, mitochondrial; Catalyzes the attachment of alanine to tRNA(Ala) in a two- step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. Belongs to the class-II aminoacyl-tRNA synthetase family.	https://smart.embl.de/smart/DDvec.cgi?smart=985:Pfam_tRNA-synt_2c(41|624)+tRNA_SAD(721|779)+	57505,6.1.1.7,A2RRN5,AAH13593.1,AAH33169.1,AAI31729.1,AARS2,AARS2-201,AARS2-202,AARSL,AB033096,AL353588,AlaRS,Alanine--tRNA ligase, mitochondrial,Alanyl-tRNA synthetase,Alanyl-tRNA synthetase 2, mitochondrial,BAA86584.1,BC013593,BC033169,BC131728,CCDS34464,CCDS34464.1,COXPD8,EC 6.1.1.7,ENSG00000124608,ENSP00000244571,ENSP00000360551,ENST00000244571,ENST00000244571.4,ENST00000371496,ENST00000491573,ENST00000491573.1,HGNC:21022,HPA035636,HPA061396,KIAA1270,LKENP,MT-ALARS,MTALARS,NM_020745,NM_020745.3,NM_020745.4,NP_065796,NP_065796.1,NP_065796.2,NX_Q5JTZ9,OMIM:612035,OTTHUMG00000014766,Q5JTZ9,Q8N198,Q96D02,Q9ULF0,R-HSA-379724,R-HSA-379726,R-HSA-392499,R-HSA-72766,SYAM_HUMAN,UPI00001C1E5A,URS00008C36D6,XM_005249245,XM_005249245.3,XM_011514764,XM_011514764.2,XM_017011112,XM_017011112.1,XP_005249302,XP_005249302.1,XP_011513066,XP_011513066.1,XP_016866601,XP_016866601.1,alanine tRNA ligase 2, mitochondrial,alanyl-tRNA synthetase 2, mitochondrial,alanyl-tRNA synthetase like,bA444E17.1,hsa:57505,uc010jza.2
AASDHPPT	9606.ENSP00000278618	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase; Catalyzes the post-translational modification of target proteins by phosphopantetheine. Can transfer the 4'-phosphopantetheine moiety from coenzyme A to a serine residue of a broad range of acceptors, such as the acyl carrier domain of FASN.	https://smart.embl.de/smart/DDvec.cgi?smart=309:Pfam_ACPS(125|244)+	2.7.8.-,2.7.8.7,2BYD,2C43,2CG5,4'-phosphopantetheinyl transferase,60496,AAD34075.1,AAF36143.1,AAF86879.1,AAG30872.1,AAG49439.1,AAH15470.1,AAH16728.1,AASD-PPT,AASDHPPT,AASDHPPT-201,AASDHPPT-202,AASDHPPT-203,AASDHPPT-204,AASDHPPT-205,ACPS,ADPPT_HUMAN,AF136978,AF151057,AF151838,AF201943,AF302110,AK293362,AK312529,AL050073,AP001001,B2R6D1,B4DDW7,BAG35428.1,BAG56878.1,BC015470,BC016728,CAB43257.1,CCDS31664,CCDS31664.1,CGI-80,CH471065,CHEMBL3137295,E9PLW6,E9PNF3,EAW67078.1,EC 2.7.8.-,EC 2.7.8.7,ENSG00000149313,ENSP00000278618,ENSP00000326810,ENSP00000327023,ENSP00000435099,ENSP00000437144,ENSP00000437175,ENST00000278618,ENST00000278618.8,ENST00000313632,ENST00000313656,ENST00000524411,ENST00000524411.5,ENST00000525660,ENST00000525660.1,ENST00000533423,ENST00000533423.5,ENST00000534152,ENST00000534152.1,HAH-P,HGNC:14235,HPA026687,HSPC223,LYS2,LYS5,LYS5 ortholog,NM_015423,NM_015423.2,NM_015423.3,NP_056238,NP_056238.2,NX_Q9NRN7,OMIM:607756,OTTHUMG00000166253,Q9C068,Q9NRN7,Q9P0Q3,Q9UG80,Q9Y389,R-HSA-1430728,R-HSA-196849,R-HSA-196854,R-HSA-199220,UPI0000034CAD,UPI00017A6BF9,UPI0001F787BD,UPI0001F787BE,URS00008B22F3,holo ACP synthase,holo-[acyl-carrier-protein] synthase,hsa:60496,uc001pjc.2,x0005
ADAT2	9606.ENSP00000237283	tRNA-specific adenosine deaminase 2; Probably participates in deamination of adenosine-34 to inosine in many tRNAs.	https://smart.embl.de/smart/DDvec.cgi?smart=191:Pfam_MafB19-deam(20|175)+	134637,3.5.4.-,3.5.4.33,3DH1,A6NL12,AAH37955.2,ADAT2,ADAT2-201,ADAT2-202,ADAT2-203,ADAT2_HUMAN,AK126201,AL031320,Adenosine deaminase tRNA specific 2,B3KWY3,BAG54295.1,BC037955,BX538182,CAD98054.1,CCDS43511,CCDS43511.1,CCDS69219,CCDS69219.1,CH471051,DEADC1,Deaminase domain-containing protein 1,EAW47868.1,EC 3.5.4.-,ENSG00000189007,ENSP00000237283,ENSP00000343195,ENSP00000356565,ENSP00000356566,ENSP00000373942,ENSP00000475651,ENST00000237283,ENST00000237283.8,ENST00000342031,ENST00000367593,ENST00000367593.1,ENST00000367594,ENST00000389291,ENST00000606514,ENST00000606514.5,HGNC:21172,HPA035479,NM_001286259,NM_001286259.1,NM_182503,NM_182503.2,NM_182503.3,NP_001273188,NP_001273188.1,NP_872309,NP_872309.2,NX_Q7Z6V5,OMIM:615388,OTTHUMG00000015725,Q7Z327,Q7Z6V5,Q8IY39,R-HSA-6782315,R-HSA-72306,R-HSA-8953854,TAD2,TRNA-specific adenosine deaminase 2,UPI00001A3A7E,UPI00001A9DC6,URS0000E9FF85,XM_011535439,XM_011535439.2,XM_011535440.1,XM_011535444,XM_011535444.2,XM_017010260,XM_017010260.1,XM_017010260.2,XM_017010261.1,XM_017010262,XM_017010262.1,XM_017010262.2,XM_017010263,XM_017010263.1,XM_024446329,XM_024446329.1,XP_011533741,XP_011533741.1,XP_011533742.1,XP_011533746,XP_011533746.1,XP_016865749,XP_016865749.1,XP_016865750.1,XP_016865751,XP_016865751.1,XP_016865752,XP_016865752.1,XP_024302097,XP_024302097.1,adenosine deaminase tRNA specific 2,dJ20N2,dJ20N2.1,deaminase domain containing 1,hsa:134637,tRNA-specific adenosine deaminase 2,uc003qjj.4
BCS1L	9606.ENSP00000413908	Mitochondrial chaperone BCS1; Chaperone necessary for the assembly of mitochondrial respiratory chain complex III. Plays an important role in the maintenance of mitochondrial tubular networks, respiratory chain assembly and formation of the LETM1 complex.	https://smart.embl.de/smart/DDvec.cgi?smart=419:BCS1_N(23|191)+AAA(222|357)+	617,A0A024R467,A0A2R8Y7T3,AAB97365.1,AAD08638.1,AAH00416.1,AAH07500.1,AAK29417.1,AAN05490.1,AC009974,AC079810,AF026849,AF038195,AF346835,AF516670,AK096210,ALQ33399.1,B3KTW9,BAG53231.1,BC000416,BC007500,BCS,BCS1,BCS1 (yeast homolog)-like,BCS1-like (S. cerevisiae),BCS1-like (yeast),BCS1-like protein,BCS1L,BCS1L-201,BCS1L-202,BCS1L-203,BCS1L-204,BCS1L-205,BCS1L-206,BCS1L-207,BCS1L-208,BCS1L-209,BCS1L-210,BCS1L-211,BCS1L-212,BCS1L-213,BCS1L-214,BCS1L-215,BCS1L-216,BCS1L-217,BCS1L-218,BCS1L-219,BCS1L-220,BCS1L-221,BCS1_HUMAN,BJS,BX571752,Bjornstad syndrome,C9J1S9,C9J4Q9,C9J8G3,C9JAS4,CAE11877.1,CCDS2419,CCDS2419.1,CH471063,EAW70634.1,EAW70635.1,EAW70636.1,EAW70637.1,EAW70638.1,EAW70639.1,EAW70640.1,ENSG00000074582,ENSP00000248430,ENSP00000352219,ENSP00000375957,ENSP00000375958,ENSP00000375959,ENSP00000389402,ENSP00000391007,ENSP00000395440,ENSP00000397293,ENSP00000398957,ENSP00000404999,ENSP00000406494,ENSP00000412729,ENSP00000413856,ENSP00000413908,ENSP00000416169,ENSP00000496514,ENST00000248430,ENST00000359273,ENST00000359273.7,ENST00000392109,ENST00000392109.5,ENST00000392110,ENST00000392110.6,ENST00000392111,ENST00000412366,ENST00000412366.5,ENST00000416304,ENST00000423377,ENST00000423377.5,ENST00000426649,ENST00000426649.5,ENST00000428880,ENST00000428880.5,ENST00000430322,ENST00000430322.5,ENST00000431802,ENST00000431802.5,ENST00000436603,ENST00000436603.1,ENST00000439945,ENST00000439945.5,ENST00000443791,ENST00000443791.5,ENST00000456050,ENST00000456050.5,ENST00000460579,ENST00000460579.5,ENST00000465706,ENST00000465706.1,ENST00000471576,ENST00000471576.5,ENST00000477422,ENST00000477422.5,ENST00000490188,ENST00000490188.1,ENST00000493376,ENST00000493376.1,ENST00000643945,ENST00000643945.1,FLNMS,GRACILE,GRACILE syndrome,H7BZF6,H7C492,HGNC:1020,HPA037700,HPA037701,Hs.6719,KU177941,LRG_539,LRG_539t1,LRG_539t2,MC3DN1,Mitochondrial chaperone BCS1,NM_001079866,NM_001079866.1,NM_001079866.2,NM_001257342,NM_001257342.1,NM_001257342.2,NM_001257343,NM_001257343.1,NM_001257343.2,NM_001257344,NM_001257344.1,NM_001257344.2,NM_001318836,NM_001318836.1,NM_001318836.2,NM_001320717,NM_001320717.1,NM_001320717.2,NM_001371443,NM_001371443.1,NM_001371444,NM_001371444.1,NM_001371446,NM_001371446.1,NM_001371447,NM_001371447.1,NM_001371448,NM_001371448.1,NM_001371449,NM_001371449.1,NM_001371450,NM_001371450.1,NM_001371451,NM_001371451.1,NM_001371452,NM_001371452.1,NM_001371453,NM_001371453.1,NM_001371454,NM_001371454.1,NM_001371455,NM_001371455.1,NM_001371456,NM_001371456.1,NM_004328,NM_004328.4,NM_004328.5,NP_001073335,NP_001073335.1,NP_001244271,NP_001244271.1,NP_001244272,NP_001244272.1,NP_001244273,NP_001244273.1,NP_001305765,NP_001305765.1,NP_001307646,NP_001307646.1,NP_001358372,NP_001358372.1,NP_001358373,NP_001358373.1,NP_001358375,NP_001358375.1,NP_001358376,NP_001358376.1,NP_001358377,NP_001358377.1,NP_001358378,NP_001358378.1,NP_001358379,NP_001358379.1,NP_001358380,NP_001358380.1,NP_001358381,NP_001358381.1,NP_001358382,NP_001358382.1,NP_001358383,NP_001358383.1,NP_001358384,NP_001358384.1,NP_001358385,NP_001358385.1,NP_004319,NP_004319.1,NR_163955,NR_163955.1,NX_Q9Y276,OMIM:603647,OTTHUMG00000133114,PTD,Q7Z2V7,Q9Y276,R-HSA-1268020,R-HSA-9609507,UPI0000073C9C,UPI000198C723,UPI000198C724,UPI000198C725,UPI000198C726,UPI000198C727,UPI0003F47A09,UPI000D196D88,URS00008B7CCC,URS0000E9D23C,XM_006712678.1,XM_017004631.1,XM_017004632.1,XP_006712741.1,XP_016860120.1,XP_016860121.1,h-BCS,h-BCS1,hsa:617,uc002vip.4,uc002viq.3
CARS2	9606.ENSP00000257347	Probable cysteine--tRNA ligase, mitochondrial; cysteinyl-tRNA synthetase 2, mitochondrial; Belongs to the class-I aminoacyl-tRNA synthetase family.	https://smart.embl.de/smart/DDvec.cgi?smart=564:Pfam_tRNA-synt_1g(77|199)+Pfam_tRNA-synt_1g(294|373)+	6.1.1.16,79587,A0A087WWV1,AAH07220.1,AB062436,AK022180,AL139385,AL157820,BAB13978.1,BAB93499.1,BC007220,CARS2,CARS2-201,CARS2-202,CARS2-203,CARS2-204,CARS2-205,CARS2-206,CARS2-207,CARS2-208,CARS2-209,CARS2-210,CARS2-211,CARS2-212,CARS2-213,CARS2-214,CARS2-215,CARS2-216,CARS2-217,CARS2-218,CARS2-219,CARS2-220,CARS2-221,CARS2-222,CARS2-223,CARS2-224,CARS2-225,CARS2-226,CARS2-227,CARS2-228,CARS2-229,CARS2-230,CARS2-231,CARS2-232,CARS2-233,CCDS9514,CCDS9514.1,COXPD27,CysRS,Cysteinyl-tRNA synthetase,Cysteinyl-tRNA synthetase 2, mitochondrial,EC 6.1.1.16,ENSG00000134905,ENSP00000257347,ENSP00000327128,ENSP00000364936,ENSP00000437962,ENSP00000438267,ENSP00000440420,ENSP00000442654,ENSP00000443027,ENSP00000444655,ENSP00000480523,ENST00000257347,ENST00000257347.8,ENST00000318878,ENST00000375781,ENST00000375781.9,ENST00000465145,ENST00000465145.5,ENST00000471986,ENST00000471986.2,ENST00000480437,ENST00000480437.5,ENST00000481787,ENST00000481787.6,ENST00000485188,ENST00000485188.1,ENST00000487253,ENST00000487253.6,ENST00000535398,ENST00000535398.5,ENST00000535516,ENST00000535516.5,ENST00000535615,ENST00000535615.5,ENST00000537386,ENST00000537386.1,ENST00000537394,ENST00000537394.5,ENST00000537404,ENST00000537404.1,ENST00000537412,ENST00000537412.5,ENST00000537743,ENST00000537743.1,ENST00000537802,ENST00000537802.5,ENST00000539269,ENST00000539269.5,ENST00000539405,ENST00000539405.1,ENST00000540006,ENST00000540006.5,ENST00000540215,ENST00000540215.1,ENST00000540629,ENST00000540629.5,ENST00000540785,ENST00000540785.1,ENST00000541239,ENST00000541239.5,ENST00000541362,ENST00000541362.5,ENST00000541443,ENST00000541443.5,ENST00000542126,ENST00000542126.5,ENST00000542709,ENST00000542709.5,ENST00000542774,ENST00000542774.5,ENST00000542993,ENST00000543487,ENST00000543487.5,ENST00000544488,ENST00000544488.5,ENST00000545506,ENST00000545506.5,ENST00000620794,ENST00000620794.1,F5H579,F5H623,FLJ12118,H0YFF0,H0YFV1,H0YGF2,HGNC:25695,HPA041776,NM_001352252,NM_001352252.1,NM_024537,NM_024537.3,NM_024537.4,NP_001339181,NP_001339181.1,NP_078813,NP_078813.1,NR_147941,NR_147941.1,NR_147942,NR_147942.2,NX_Q9HA77,OK/SW-cl.10,OMIM:612800,OTTHUMG00000017347,Probable cysteine--tRNA ligase, mitochondrial,Q8NI84,Q96IV4,Q9HA77,R-HSA-379724,R-HSA-379726,R-HSA-392499,R-HSA-72766,SYCM_HUMAN,UPI0000046055,UPI000204A9D7,UPI000204A9D8,UPI000204A9D9,UPI000204A9DA,UPI000204A9DB,UPI0004620DDE,URS00008C0A83,URS00008C0D2D,URS00008C128E,URS00008C1997,URS00008C3AF6,URS0000D6D658,URS0000D6DC85,URS0000D6DDC2,URS0000D6DE1F,URS0000D6DE75,URS0000D6E08F,URS0000D6E3C5,URS0000D6E55E,URS0000D6E887,URS0000E93761,URS0000EB07B6,XM_006719953,XM_006719953.3,XM_011521116,XM_011521116.1,XM_017020741,XM_017020741.1,XM_017020742,XM_017020742.2,XM_024449409,XM_024449409.1,XP_006720016,XP_006720016.1,XP_011519418,XP_011519418.1,XP_016876230,XP_016876230.1,XP_016876231,XP_016876231.1,XP_024305177,XP_024305177.1,XR_001749664,XR_001749664.2,XR_001749665,XR_001749665.2,XR_001749666,XR_001749666.2,XR_001749667,XR_001749667.2,XR_002957472,XR_002957472.1,XR_243047,XR_243047.3,XR_243048,XR_243048.4,XR_243049,XR_243049.4,XR_243051,XR_243051.3,cysRS,cysteine tRNA ligase 2, mitochondrial (putative),cysteinyl-tRNA synthetase 2, mitochondrial,hsa:79587,uc001vrd.3
COA6	9606.ENSP00000355574	Cytochrome c oxidase assembly factor 6 homolog; Involved in the maturation of the mitochondrial respiratory chain complex IV subunit MT-CO2/COX2. Thereby, may regulate early steps of complex IV assembly. Mitochondrial respiratory chain complex IV or cytochrome c oxidase is the component of the respiratory chain that catalyzes the transfer of electrons from intermembrane space cytochrome c to molecular oxygen in the matrix and as a consequence contributes to the proton gradient involved in mitochondrial ATP synthesis. May also be required for efficient formation of respiratory supercomp [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=155:Pfam_COX6B(77|142)+	388753,6NL3,6PCE,6PCF,AAH25793.1,AAI16456.1,AL355472,BC025793,BC116455,C1orf31,CCDS31059,CCDS31059.1,CCDS55690,CCDS55690.1,CCDS76275,CCDS76275.1,CEMCOX4,COA6,COA6-201,COA6-202,COA6-203,COA6-204,COA6_HUMAN,Cytochrome c oxidase assembly factor 6,Cytochrome c oxidase assembly factor 6 homolog,ENSG00000168275,ENSP00000306082,ENSP00000355571,ENSP00000355572,ENSP00000355573,ENSP00000355574,ENSP00000392376,ENSP00000400989,ENSP00000479686,ENST00000302661,ENST00000366612,ENST00000366612.1,ENST00000366613,ENST00000366613.1,ENST00000366614,ENST00000366615,ENST00000366615.8,ENST00000424237,ENST00000444797,ENST00000619305,ENST00000619305.1,HGNC:18025,HPA028588,NM_001012985,NM_001012985.2,NM_001206641,NM_001206641.2,NM_001206641.3,NM_001301733,NM_001301733.1,NP_001013003,NP_001013003.1,NP_001193570,NP_001193570.2,NP_001288662,NP_001288662.1,NX_Q5JTJ3,OMIM:614772,OTTHUMG00000037945,Q5JTJ2,Q5JTJ3,Q5JTJ4,Q8TA88,R-HSA-1268020,R-HSA-9609507,UPI000015FF99,UPI00001D7D6B,UPI000020607F,X6R5Z6,chromosome 1 open reading frame 31,cytochrome c oxidase assembly factor 6,hsa:388753,uc001hwc.4,uc057qls.1
COA7	9606.ENSP00000360593	Cytochrome c oxidase assembly factor 7; Required for assembly of mitochondrial respiratory chain complex I and complex IV; Belongs to the hcp beta-lactamase family.	https://smart.embl.de/smart/DDvec.cgi?smart=231:SEL1(34|66)+SEL1(68|104)+SEL1(108|146)+SEL1(147|183)+SEL1(184|219)+	65260,AAH15313.1,AC099784,AK022501,BAB14063.1,BC015313,Beta-lactamase hcp-like protein,C1orf163,CCDS570,CCDS570.1,COA7,COA7-201,COA7-202,COA7_HUMAN,Cytochrome c oxidase assembly factor 7,ENSG00000162377,ENSP00000294352,ENSP00000360593,ENST00000294352,ENST00000371538,ENST00000371538.4,ENST00000486918,ENST00000486918.1,FLJ12439,HGNC:25716,HPA028154,HPA029926,NM_023077,NM_023077.2,NM_023077.3,NP_075565,NP_075565.2,NX_Q96BR5,OMIM:615623,OTTHUMG00000008505,Q0P6I7,Q96BR5,Q9H9Z9,RESA1,Respiratory chain assembly factor 1,SCAN3,SELRC1,Sel1 repeat containing 1,Sel1 repeat-containing protein 1,UPI0000034E0F,chromosome 1 open reading frame 163,cytochrome c oxidase assembly factor 7,hsa:65260,respiratory chain assembly 1,uc001cui.3
COQ3	9606.ENSP00000254759	Ubiquinone biosynthesis O-methyltransferase, mitochondrial; O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway.	https://smart.embl.de/smart/DDvec.cgi?smart=369:Pfam_Methyltransf_23(121|304)+	2.1.1.114,2.1.1.64,3-demethylubiquinol 3-O-methyltransferase,51805,AAF66826.1,AAH15634.2,AAH63463.1,AAN76515.1,AF193016,AF351615,AK056955,AL136726,AL513550,B3KPX0,BAG51832.1,BC015634,BC063463,CAB66660.1,CCDS5042,CCDS5042.1,COQ3,COQ3-201,COQ3-202,COQ3-203,COQ3_HUMAN,Coenzyme Q3, methyltransferase,DHHBMT,DHHBMTASE,EC 2.1.1.114,EC 2.1.1.64,ENSG00000132423,ENSP00000254759,ENSP00000358243,ENSP00000358244,ENSP00000358245,ENST00000254759,ENST00000254759.7,ENST00000369240,ENST00000369240.5,ENST00000369241,ENST00000369242,ENST00000479163,ENST00000479163.1,F6WGP0,HGNC:18175,HPA031273,HPA031274,NM_017421,NM_017421.3,NM_017421.4,NP_059117,NP_059117.3,NX_Q9NZJ6,OMIM:605196,OTTHUMG00000015264,Polyprenyldihydroxybenzoate methyltransferase,Q5T061,Q6P4F0,Q8IXG6,Q96BG1,Q9H0N1,Q9NZJ6,R-HSA-1430728,R-HSA-196854,R-HSA-2142789,R-HSA-8978934,UG0215E05,UPI000020DFCE,UPI00004152B7,URS00008B4EEA,XM_005267018,XM_005267018.4,XM_006715500,XM_006715500.3,XM_011535898,XM_011535898.2,XM_011535899,XM_011535899.1,XM_024446457,XM_024446457.1,XM_024446458,XM_024446458.1,XP_005267075,XP_005267075.1,XP_006715563,XP_006715563.1,XP_011534200,XP_011534200.1,XP_011534201,XP_011534201.1,XP_024302225,XP_024302225.1,XP_024302226,XP_024302226.1,bA9819.1,coenzyme Q3 homolog, methyltransferase (yeast),coenzyme Q3, methyltransferase,hsa:51805,polyprenyldihydroxybenzoate methyltransferase,uc003ppk.4
COQ6	9606.ENSP00000333946	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial; FAD-dependent monooxygenase required for the C5-ring hydroxylation during ubiquinone biosynthesis. Catalyzes the hydroxylation of 3-hexaprenyl-4-hydroxybenzoic acid (HHB) to 3- hexaprenyl-4,5-dihydroxybenzoic acid (DHHB). The electrons required for the hydroxylation reaction may be funneled indirectly from NADPH via a ferredoxin/ferredoxin reductase system to COQ6 (By similarity). Is able to perform the deamination reaction at C4 of 3-hexaprenyl-4-amino-5- hydroxybenzoic acid (HHAB) to produce DHHB when expressed in yeast cells [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=468:Pfam_FAD_binding_3(189|317)+Pfam_FAD_binding_3(328|427)+	1.14.13.-,51004,A0A0D9SFJ1,AAD27719.1,AAH14181.1,AAH14483.1,AC005480,AF132944,AK222965,AK296040,B7Z3K8,BAD96685.1,BAH12244.1,BC014181,BC014483,BX248000,CAD62332.1,CCDS9823,CCDS9823.1,CCDS9824,CCDS9824.2,CGI-10,CGI10,CH471061,COQ10D6,COQ6,COQ6-201,COQ6-202,COQ6-203,COQ6-204,COQ6-205,COQ6-206,COQ6-207,COQ6-208,COQ6-209,COQ6-210,COQ6-211,COQ6-212,COQ6-213,COQ6-214,COQ6-215,COQ6-216,COQ6-217,COQ6-218,COQ6-219,COQ6-220,COQ6_HUMAN,Coenzyme Q10 monooxygenase 6,Coenzyme Q6, monooxygenase,EAW81146.1,EAW81148.1,EC 1.14.13.-,ENSG00000119723,ENSP00000238709,ENSP00000333946,ENSP00000377594,ENSP00000439592,ENSP00000450511,ENSP00000450526,ENSP00000450736,ENSP00000450907,ENSP00000450954,ENSP00000451123,ENSP00000451149,ENSP00000451301,ENSP00000451538,ENSP00000451562,ENSP00000451685,ENSP00000451727,ENSP00000451948,ENSP00000452112,ENSP00000452198,ENSP00000452285,ENSP00000452365,ENSP00000486650,ENST00000238709,ENST00000334571,ENST00000334571.6,ENST00000394026,ENST00000394026.8,ENST00000545052,ENST00000553448,ENST00000553448.1,ENST00000553462,ENST00000553462.6,ENST00000553922,ENST00000553922.5,ENST00000554153,ENST00000554193,ENST00000554193.5,ENST00000554217,ENST00000554217.5,ENST00000554320,ENST00000554320.1,ENST00000554341,ENST00000554341.6,ENST00000554905,ENST00000554920,ENST00000554920.5,ENST00000555196,ENST00000555196.5,ENST00000555376,ENST00000555392,ENST00000555392.1,ENST00000555511,ENST00000555511.5,ENST00000555552,ENST00000555552.5,ENST00000556299,ENST00000556300,ENST00000556300.6,ENST00000556588,ENST00000556588.5,ENST00000557205,ENST00000557205.6,ENST00000557584,ENST00000557584.5,ENST00000557780,ENST00000557780.5,ENST00000629426,ENST00000629426.2,G3V2L5,G3V3A1,G3V3L0,G3V434,G3V4A6,HGNC:20233,HPA051371,NM_182476,NM_182476.2,NM_182476.3,NM_182480,NM_182480.2,NP_872282,NP_872282.1,NP_872286,NP_872286.2,NX_Q9Y2Z9,OMIM:614647,OTTHUMG00000171260,Q53GG6,Q86U30,Q96CA1,Q96CK2,Q9Y2Z9,R-HSA-1430728,R-HSA-196854,R-HSA-2142789,R-HSA-8978934,UPI0000127F00,UPI00001B2F36,UPI00001FD838,UPI00001FD839,UPI00021CF11C,UPI00021CF11E,UPI00021CF120,UPI00024674B2,URS00008C0EEF,URS00008C2DBE,Ubiquinone biosynthesis monooxygenase Coq6,XM_006720156,XM_006720156.1,XM_011536807,XM_011536807.2,XM_011536808,XM_011536808.2,XM_011536809,XM_011536809.3,XM_011536810,XM_011536810.3,XM_017021351,XM_017021351.2,XM_017021352,XM_017021352.2,XM_024449619,XM_024449619.1,XP_006720219,XP_006720219.1,XP_011535109,XP_011535109.1,XP_011535110,XP_011535110.1,XP_011535111,XP_011535111.1,XP_011535112,XP_011535112.1,XP_016876840,XP_016876840.1,XP_016876841,XP_016876841.1,XP_024305387,XP_024305387.1,XR_001750342,XR_001750342.1,coenzyme Q6 homolog (yeast),coenzyme Q6 homolog, monooxygenase (yeast),coenzyme Q6 monooxygenase,coenzyme Q6, monooxygenase,hsa:51004,uc001xph.4
COQ7	9606.ENSP00000322316	5-demethoxyubiquinone hydroxylase, mitochondrial; Catalyzes the hydroxylation of 2-polyprenyl-3-methyl-6- methoxy-1,4-benzoquinol (DMQH2) during ubiquinone biosynthesis. Has also a structural role in the COQ enzyme complex, stabilizing other COQ polypeptides. Involved in lifespan determination in a ubiquinone- independent manner.	https://smart.embl.de/smart/DDvec.cgi?smart=217:Pfam_COQ7(48|217)+	1.14.13.-,1.14.99.60,10229,3-demethoxyubiquinol 3-hydroxylase,5-demethoxyubiquinone hydroxylase,5-demethoxyubiquinone hydroxylase, mitochondrial,AAC51120.1,AAC69451.1,AAD43648.1,AAH03185.1,AC099518,AF032900,AF098948,AK024291,AK315470,AL136647,B2RDA9,BAB14876.1,BAG37856.1,BC003185,CAB66582.1,CAT5,CCDS10574,CCDS10574.1,CCDS53993,CCDS53993.1,CH471186,CLK-1,CLK1,COQ10D8,COQ7,COQ7-201,COQ7-202,COQ7-203,COQ7-204,COQ7-205,COQ7-206,COQ7-207,COQ7-208,COQ7-209,COQ7-210,COQ7-211,COQ7_HUMAN,Coenzyme Q7, hydroxylase,DMQ hydroxylase,EAW50268.1,EAW50269.1,EC 1.14.99.60,ENSG00000167186,ENSP00000300563,ENSP00000322316,ENSP00000442923,ENSP00000455122,ENSP00000456490,ENSP00000456734,ENSP00000456943,ENSP00000457256,ENSP00000459076,ENST00000300563,ENST00000321998,ENST00000321998.9,ENST00000544894,ENST00000544894.6,ENST00000561858,ENST00000561858.5,ENST00000564746,ENST00000564746.1,ENST00000566049,ENST00000566049.5,ENST00000566110,ENST00000566110.5,ENST00000567314,ENST00000567314.1,ENST00000568985,ENST00000568985.5,ENST00000569127,ENST00000569127.1,ENST00000569259,ENST00000569259.1,ENST00000569312,ENST00000569312.5,H3BP28,H3BS11,H3BSZ3,H3BTN8,HGNC:2244,HPA067252,HPA071922,I3L1T0,NM_001190983,NM_001190983.1,NM_001190983.2,NM_001370489,NM_001370489.1,NM_001370490,NM_001370490.1,NM_001370491,NM_001370491.1,NM_001370492,NM_001370492.1,NM_001370493,NM_001370493.1,NM_001370494,NM_001370494.1,NM_001370495,NM_001370495.1,NM_016138,NM_016138.4,NM_016138.5,NP_001177912,NP_001177912.1,NP_001357418,NP_001357418.1,NP_001357419,NP_001357419.1,NP_001357420,NP_001357420.1,NP_001357421,NP_001357421.1,NP_001357422,NP_001357422.1,NP_001357423,NP_001357423.1,NP_001357424,NP_001357424.1,NP_057222,NP_057222.2,NR_163448,NR_163448.1,NR_163449,NR_163449.1,NR_163450,NR_163450.1,NX_Q99807,OMIM:601683,OTTHUMG00000131455,Q99807,Q9BTT7,Q9H0T5,Q9UEW5,Q9UNR5,R-HSA-1430728,R-HSA-196854,R-HSA-2142789,R-HSA-8978934,Timing protein clk-1 homolog,U81276,UPI000006D56A,UPI00001FEF73,UPI0000EE7CD0,UPI0002466F48,UPI0002466F49,UPI0002466F4A,UPI0002466F4B,URS00008B36D0,URS00008C05A6,Ubiquinone biosynthesis monooxygenase COQ7,XR_950722,XR_950722.3,coenzyme Q, 7 (rat, yeast) homolog,coenzyme Q7 homolog, ubiquinone (yeast),coenzyme Q7, hydroxylase,hsa:10229,uc002dfr.4
