#node	identifier	category	term ID	term description
AARS2	9606.ENSP00000244571	GO Process	GO:0000959	Mitochondrial RNA metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0006082	Organic acid metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0006139	Nucleobase-containing compound metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0006396	RNA processing
AARS2	9606.ENSP00000244571	GO Process	GO:0006399	tRNA metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0006400	tRNA modification
AARS2	9606.ENSP00000244571	GO Process	GO:0006412	Translation
AARS2	9606.ENSP00000244571	GO Process	GO:0006418	tRNA aminoacylation for protein translation
AARS2	9606.ENSP00000244571	GO Process	GO:0006419	alanyl-tRNA aminoacylation
AARS2	9606.ENSP00000244571	GO Process	GO:0006450	Regulation of translational fidelity
AARS2	9606.ENSP00000244571	GO Process	GO:0006518	Peptide metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0006520	Cellular amino acid metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0006725	Cellular aromatic compound metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0006807	Nitrogen compound metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0008033	tRNA processing
AARS2	9606.ENSP00000244571	GO Process	GO:0008152	Metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0009058	Biosynthetic process
AARS2	9606.ENSP00000244571	GO Process	GO:0009059	Macromolecule biosynthetic process
AARS2	9606.ENSP00000244571	GO Process	GO:0009451	RNA modification
AARS2	9606.ENSP00000244571	GO Process	GO:0009987	Cellular process
AARS2	9606.ENSP00000244571	GO Process	GO:0010467	Gene expression
AARS2	9606.ENSP00000244571	GO Process	GO:0016070	RNA metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0019538	Protein metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0019752	Carboxylic acid metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0032543	Mitochondrial translation
AARS2	9606.ENSP00000244571	GO Process	GO:0034470	ncRNA processing
AARS2	9606.ENSP00000244571	GO Process	GO:0034641	Cellular nitrogen compound metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0034645	Cellular macromolecule biosynthetic process
AARS2	9606.ENSP00000244571	GO Process	GO:0034660	ncRNA metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0043038	Amino acid activation
AARS2	9606.ENSP00000244571	GO Process	GO:0043039	tRNA aminoacylation
AARS2	9606.ENSP00000244571	GO Process	GO:0043043	Peptide biosynthetic process
AARS2	9606.ENSP00000244571	GO Process	GO:0043170	Macromolecule metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0043412	Macromolecule modification
AARS2	9606.ENSP00000244571	GO Process	GO:0043436	Oxoacid metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0043603	Cellular amide metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0043604	Amide biosynthetic process
AARS2	9606.ENSP00000244571	GO Process	GO:0044237	Cellular metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0044238	Primary metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0044249	Cellular biosynthetic process
AARS2	9606.ENSP00000244571	GO Process	GO:0044260	Cellular macromolecule metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0044271	Cellular nitrogen compound biosynthetic process
AARS2	9606.ENSP00000244571	GO Process	GO:0044281	Small molecule metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0046483	Heterocycle metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0065007	Biological regulation
AARS2	9606.ENSP00000244571	GO Process	GO:0065008	Regulation of biological quality
AARS2	9606.ENSP00000244571	GO Process	GO:0070127	tRNA aminoacylation for mitochondrial protein translation
AARS2	9606.ENSP00000244571	GO Process	GO:0070143	Mitochondrial alanyl-tRNA aminoacylation
AARS2	9606.ENSP00000244571	GO Process	GO:0071704	Organic substance metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0090304	Nucleic acid metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
AARS2	9606.ENSP00000244571	GO Process	GO:0140053	Mitochondrial gene expression
AARS2	9606.ENSP00000244571	GO Process	GO:1901360	Organic cyclic compound metabolic process
AARS2	9606.ENSP00000244571	GO Process	GO:1901564	Organonitrogen compound metabolic process
