#node	identifier	x_position	y_position	color	annotation
AARS2	9606.ENSP00000244571	0.36096605744125326	0.5811363636363638	rgb(239,188,117)	Alanine--tRNA ligase, mitochondrial; Catalyzes the attachment of alanine to tRNA(Ala) in a two- step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain. Belongs to the class-II aminoacyl-tRNA synthetase family.
AASDHPPT	9606.ENSP00000278618	0.5975195822454309	0.7290909090909091	rgb(130,239,117)	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase; Catalyzes the post-translational modification of target proteins by phosphopantetheine. Can transfer the 4'-phosphopantetheine moiety from coenzyme A to a serine residue of a broad range of acceptors, such as the acyl carrier domain of FASN.
ADAT2	9606.ENSP00000237283	0.5223237597911227	0.6302272727272727	rgb(239,164,117)	tRNA-specific adenosine deaminase 2; Probably participates in deamination of adenosine-34 to inosine in many tRNAs.
BCS1L	9606.ENSP00000413908	0.5379895561357703	0.3009090909090909	rgb(117,209,239)	Mitochondrial chaperone BCS1; Chaperone necessary for the assembly of mitochondrial respiratory chain complex III. Plays an important role in the maintenance of mitochondrial tubular networks, respiratory chain assembly and formation of the LETM1 complex.
CARS2	9606.ENSP00000257347	0.43537859007832896	0.6179545454545455	rgb(184,239,117)	Probable cysteine--tRNA ligase, mitochondrial; cysteinyl-tRNA synthetase 2, mitochondrial; Belongs to the class-I aminoacyl-tRNA synthetase family.
COA6	9606.ENSP00000355574	0.49099216710182764	0.18704545454545457	rgb(117,185,239)	Cytochrome c oxidase assembly factor 6 homolog; Involved in the maturation of the mitochondrial respiratory chain complex IV subunit MT-CO2/COX2. Thereby, may regulate early steps of complex IV assembly. Mitochondrial respiratory chain complex IV or cytochrome c oxidase is the component of the respiratory chain that catalyzes the transfer of electrons from intermembrane space cytochrome c to molecular oxygen in the matrix and as a consequence contributes to the proton gradient involved in mitochondrial ATP synthesis. May also be required for efficient formation of respiratory supercomp [...] 
COA7	9606.ENSP00000360593	0.5520887728459531	0.19386363636363635	rgb(219,239,117)	Cytochrome c oxidase assembly factor 7; Required for assembly of mitochondrial respiratory chain complex I and complex IV; Belongs to the hcp beta-lactamase family.
COQ3	9606.ENSP00000254759	0.36801566579634465	0.4297727272727273	rgb(117,117,239)	Ubiquinone biosynthesis O-methyltransferase, mitochondrial; O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway.
COQ6	9606.ENSP00000333946	0.3781984334203656	0.46454545454545454	rgb(117,161,239)	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial; FAD-dependent monooxygenase required for the C5-ring hydroxylation during ubiquinone biosynthesis. Catalyzes the hydroxylation of 3-hexaprenyl-4-hydroxybenzoic acid (HHB) to 3- hexaprenyl-4,5-dihydroxybenzoic acid (DHHB). The electrons required for the hydroxylation reaction may be funneled indirectly from NADPH via a ferredoxin/ferredoxin reductase system to COQ6 (By similarity). Is able to perform the deamination reaction at C4 of 3-hexaprenyl-4-amino-5- hydroxybenzoic acid (HHAB) to produce DHHB when expressed in yeast cells [...] 
COQ7	9606.ENSP00000322316	0.32806788511749346	0.40454545454545454	rgb(117,239,234)	5-demethoxyubiquinone hydroxylase, mitochondrial; Catalyzes the hydroxylation of 2-polyprenyl-3-methyl-6- methoxy-1,4-benzoquinol (DMQH2) during ubiquinone biosynthesis. Has also a structural role in the COQ enzyme complex, stabilizing other COQ polypeptides. Involved in lifespan determination in a ubiquinone- independent manner.
