#node	identifier	category	term ID	term description
ACOT1	9606.ENSP00000311224	GO Process	GO:0000038	Very long-chain fatty acid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0001676	Long-chain fatty acid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006082	Organic acid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006139	Nucleobase-containing compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006163	Purine nucleotide metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006629	Lipid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006631	Fatty acid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006637	acyl-CoA metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006725	Cellular aromatic compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006753	Nucleoside phosphate metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006790	Sulfur compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006793	Phosphorus metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006796	Phosphate-containing compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0006807	Nitrogen compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0008152	Metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0009117	Nucleotide metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0009150	Purine ribonucleotide metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0009259	Ribonucleotide metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0009987	Cellular process
ACOT1	9606.ENSP00000311224	GO Process	GO:0019637	Organophosphate metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0019693	Ribose phosphate metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0019752	Carboxylic acid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0032787	Monocarboxylic acid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0033865	Nucleoside bisphosphate metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0033875	Ribonucleoside bisphosphate metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0034032	Purine nucleoside bisphosphate metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0034641	Cellular nitrogen compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0035383	Thioester metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0043436	Oxoacid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0043603	Cellular amide metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0044237	Cellular metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0044238	Primary metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0044255	Cellular lipid metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0044281	Small molecule metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0046483	Heterocycle metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0055086	Nucleobase-containing small molecule metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0071704	Organic substance metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:0072521	Purine-containing compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:1901135	Carbohydrate derivative metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:1901360	Organic cyclic compound metabolic process
ACOT1	9606.ENSP00000311224	GO Process	GO:1901564	Organonitrogen compound metabolic process
ACOT1	9606.ENSP00000311224	GO Function	GO:0003824	Catalytic activity
ACOT1	9606.ENSP00000311224	GO Function	GO:0016289	CoA hydrolase activity
ACOT1	9606.ENSP00000311224	GO Function	GO:0016290	palmitoyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	GO Function	GO:0016787	Hydrolase activity
ACOT1	9606.ENSP00000311224	GO Function	GO:0016788	Hydrolase activity, acting on ester bonds
ACOT1	9606.ENSP00000311224	GO Function	GO:0016790	Thiolester hydrolase activity
ACOT1	9606.ENSP00000311224	GO Function	GO:0047617	acyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	GO Function	GO:0052689	Carboxylic ester hydrolase activity
ACOT1	9606.ENSP00000311224	GO Function	GO:0102991	myristoyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	GO Component	GO:0005622	Intracellular anatomical structure
ACOT1	9606.ENSP00000311224	GO Component	GO:0005737	Cytoplasm
ACOT1	9606.ENSP00000311224	GO Component	GO:0005829	Cytosol
ACOT1	9606.ENSP00000311224	GO Component	GO:0110165	Cellular anatomical entity
ACOT1	9606.ENSP00000311224	STRING clusters	CL:15297	Mixed, incl. Intermembrane lipid transfer, and acyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	STRING clusters	CL:15298	Mixed, incl. Intermembrane lipid transfer, and acyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	STRING clusters	CL:15299	Mixed, incl. Intermembrane lipid transfer, and acyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	STRING clusters	CL:15395	START domain, and palmitoyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	STRING clusters	CL:15418	myristoyl-CoA hydrolase activity
ACOT1	9606.ENSP00000311224	KEGG	hsa00062	Fatty acid elongation
