#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	23	Calm1	10090.ENSMUSP00000158788	Calmodulin-1; Belongs to the calmodulin family.
MCL	1	Red	23	Ccdc47	10090.ENSMUSP00000002043	Coiled-coil domain-containing protein 47; Involved in the regulation of calcium ion homeostasis in the endoplasmic reticulum (By similarity). Required for proper protein degradation via the ERAD pathway. Has an essential role in the maintenance of endoplasmic reticulum organization during embryogenesis.
MCL	1	Red	23	Cox16	10090.ENSMUSP00000002757	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial; Required for the assembly of the mitochondrial respiratory chain complex IV (CIV), also known as cytochrome c oxidase. Promotes the insertion of copper into the active site of cytochrome c oxidase subunit II (MT-CO2/COX2). Interacts specifically with newly synthesized MT-CO2/COX and its copper center-forming metallochaperones SCO1, SCO2 and COA6. Probably facilitates MT-CO2/COX2 association with the MITRAC assembly intermediate containing MT-CO1/COX1, thereby participating in merging the MT-CO1/COX1 and MT-CO2/COX2 ass [...] 
MCL	1	Red	23	Ddx28	10090.ENSMUSP00000058950	Probable ATP-dependent RNA helicase DDX28; Plays an essential role in facilitating the proper assembly of the mitochondrial large ribosomal subunit and its helicase activity is essential for this function. May be involved in RNA processing or transport. Has RNA and Mg(2+)-dependent ATPase activity (By similarity); Belongs to the DEAD box helicase family.
MCL	1	Red	23	Eef1b2	10090.ENSMUSP00000116492	Elongation factor 1-beta; EF-1-beta and EF-1-delta stimulate the exchange of GDP bound to EF-1-alpha to GTP.
MCL	1	Red	23	Gadd45gip1	10090.ENSMUSP00000037783	Growth arrest and DNA damage-inducible proteins-interacting protein 1; Acts as a negative regulator of G1 to S cell cycle phase progression by inhibiting cyclin-dependent kinases. Inhibitory effects are additive with GADD45 proteins but occurs also in the absence of GADD45 proteins. Acts as a repressor of the orphan nuclear receptor NR4A1 by inhibiting AB domain-mediated transcriptional activity. May be involved in the hormone-mediated regulation of NR4A1 transcriptional activity. May play a role in mitochondrial protein synthesis.
MCL	1	Red	23	Gtpbp8	10090.ENSMUSP00000125352	GTP-binding protein 8; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. EngB GTPase family.
MCL	1	Red	23	Mapk9	10090.ENSMUSP00000136977	Mitogen-activated protein kinase 9; Serine/threonine-protein kinase involved in various processes such as cell proliferation, differentiation, migration, transformation and programmed cell death. Extracellular stimuli such as proinflammatory cytokines or physical stress stimulate the stress- activated protein kinase/c-Jun N-terminal kinase (SAP/JNK) signaling pathway. In this cascade, two dual specificity kinases MAP2K4/MKK4 and MAP2K7/MKK7 phosphorylate and activate MAPK9/JNK2. In turn, MAPK9/JNK2 phosphorylates a number of transcription factors, primarily components of AP-1 such as J [...] 
MCL	1	Red	23	Mrpl13	10090.ENSMUSP00000130722	39S ribosomal protein L13, mitochondrial; Belongs to the universal ribosomal protein uL13 family.
MCL	1	Red	23	Mrpl16	10090.ENSMUSP00000128915	39S ribosomal protein L16, mitochondrial; Belongs to the universal ribosomal protein uL16 family.
MCL	1	Red	23	Mrpl17	10090.ENSMUSP00000117971	39S ribosomal protein L17, mitochondrial.
MCL	1	Red	23	Mrpl40	10090.ENSMUSP00000023391	39S ribosomal protein L40, mitochondrial.
MCL	1	Red	23	Mrpl47	10090.ENSMUSP00000048078	39S ribosomal protein L47, mitochondrial; Belongs to the universal ribosomal protein uL29 family.
MCL	1	Red	23	Mrpl52	10090.ENSMUSP00000010550	39S ribosomal protein L52, mitochondrial.
MCL	1	Red	23	Mrps18b	10090.ENSMUSP00000025305	28S ribosomal protein S18b, mitochondrial.
MCL	1	Red	23	Mrps24	10090.ENSMUSP00000119535	28S ribosomal protein S24, mitochondrial; Belongs to the universal ribosomal protein uS3 family.
MCL	1	Red	23	Mrps26	10090.ENSMUSP00000123324	28S ribosomal protein S26, mitochondrial; Belongs to the mitochondrion-specific ribosomal protein mS26 family.
MCL	1	Red	23	Mrps27	10090.ENSMUSP00000062326	28S ribosomal protein S27, mitochondrial; RNA-binding component of the mitochondrial small ribosomal subunit (mt-SSU) that plays a role in mitochondrial protein synthesis. Stimulates mitochondrial mRNA translation of subunit components of the mitochondrial electron transport chain. Binds to the mitochondrial 12S rRNA (12S mt-rRNA) and tRNA(Glu). Overexpressed in hepatocellular carcinoma tissues compared with adjacent non-tumoral liver tissues.
MCL	1	Red	23	Mrps30	10090.ENSMUSP00000022245	28S ribosomal protein S30, mitochondrial; Belongs to the mitochondrion-specific ribosomal protein mL65 family.
MCL	1	Red	23	Mrps34	10090.ENSMUSP00000045111	28S ribosomal protein S34, mitochondrial; Required for mitochondrial translation, plays a role in maintaining the stability of the small ribosomal subunit and the 12S rRNA that are required for mitoribosome formation. Belongs to the mitochondrion-specific ribosomal protein mS34 family.
